标题,标题链接,地区,省/城市,地级城市,工作经验,工作经验_float,学历,学历_int,公司名称,公司性质,公司规模,行业领域_第一段,国民经济行业分类,薪资,薪资下区间,薪资上区间,薪资单位,职能中类,职能大类,发布时间,年份,采集时的时间,职位信息,分词
量化投资经理/策略师,https://jobs.51job.com/kunshan/146879239.html,,,,,,,,上海系数投资管理合伙企业（有限合伙）,民营,少于50人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,证券,金融,04-08发布,2024,2024/4/11 10:40,"职位描述：1、独立开发与管理量化投资策略。职位要求：1、需具有优异的1年以上量化投资实盘业绩，包括股票、海内外指数期货、期权、商品期货。策略包括CTA、 跨期、内外盘、跨品种套利策略、股票对冲策略、统计套利，以及T+0、T+1策略；2、获得国内外知名重点院校的相关专业硕士或以上学位；5年以上量化投资经验；扎实的编程能力（如Python, SAS, MATLAB, SQL）；3、在数学、统计、算法、金融工程等方面学术基础扎实，具备研发实务模型的能力和经验；4、具备良好的沟通能力和团队合作能力，责任心强、具有创业精神；5、公司提供对冲基金的业绩分成薪酬机制。","量化,SAS,CTA,责任心,薪酬,相关,实盘,、,与,独立,0,1,海内外,期权,盘,研发,和,知名,职位,：,要求,+,分成,编程,包括,品种,2,业绩,基金,跨期,；,专业,公司,投资,良好,基础,需,工程,重点,管理, ,商品,指数,扎实,机制,MATLAB,的,以上,经验,学术,具有,学位,实务,如,沟通,内外,优异,国内外,开发,套利,统计,跨,Python,，,（,提供,3,能力,具备,或,,,方面,算法,年,数学,T,5,SQL,团队,对冲,描述,策略,期货,获得,4,创业精神,股票,等,硕士,。,合作,模型,）,强,在,院校,金融,以及"
量化分析师,https://jobs.51job.com/nanjing-glq/135345187.html,南京-鼓楼区,南京,南京,3-4年经验,3.5,本科,5,江苏天鼎证券投资咨询有限公司,民营公司,1000-5000人,金融/投资/证券,金融业,1.5-2.5万,15,25,千/月,金融/证券/期货/投资,会计/金融/银行/保险,07-25发布,2022,,工作内容：1、行业个股研究，研报撰写，投资组合构建等；2、对投资有独到见解和分析方法，指导投资者进行行情分析，策略建议；3、对证券行情进行分析，收集市场及相关市场（证券、期货等）的资讯、新闻以及各类行情信息；4、做相关研究报告的撰写。岗位要求：1、统招本科及以上学历，经济、金融、中文等相关专业，3年以上证券研究与分析工作经验，有投顾证；2、具备投资经验，熟悉各类分析方法，拥有自己的操作理念及方法；3、具备较好的写作能力，能够独立撰写金融类评论文章、研发报告；4、拥有出色的逻辑思维能力，表达能力及总结能力；5、积极上进，具备良好的创新能力，具有很强的工作责任心和团队合作精神；6、懂编程，会python 、matlab、 C、 VB 等其中一项。,"能力,表达能力,收集,以及,中文,投资,组合,团队, ,构建,1,；,评论,逻辑思维,（,的,6,精神,写作能力,证券行情,良好,本科,独立,研报,：,分析,文章,4,具备,具有,独到见解,报告,建议,C,较,要求,做,一项,投资者,证券,VB,拥有,出色,与,金融类,以上,操作,市场,信息,新闻,岗位,专业,个股,熟悉,投顾证,期货,matlab,分析方法,5,其中,2,责任心,资讯,有,行情,能够,策略,金融,内容,编程,创新能力,合作,进,经济,理念,积极,3,各类,总结,以上学历,方法,。,研究,python,自己,）,年,撰写,行业,及,和,会,研发,工作,好,进行,相关,统招,经验,等,对,指导,懂,上,，,很强,、"
营销主管、量化交易部负责人,https://jobs.51job.com/kunming/112662754.html,昆明,昆明,昆明,3-4年经验,3.5,大专,4,徽商期货有限责任公司昆明营业部,国企,150-500人,金融/投资/证券,金融业,1-1.5万,10,15,千/月,运维/技术支持,计算机/互联网/通信/电子,11-28发布,2022,,"1、数字资产及区块链金融应用开发；2、量化交易系统架构设计,建立并执行交易风险管理SOP；3、开发量化投资交易策略,数据回测及风险分析,日常交易运维；4、对数字资产市场交易数据进行量化建模，研究开发各类多因子模型、事件模型；5、数字资产与传统金融交易(资产) 无风险套利及套期保值等操作。任职要求：1、 专科以上学历，计算机、金融、数学、统计学相关专业毕业优先；2、 5以上在传统金融市场的交易经验或者1年以上在区块链市场的交易经验，出示良好投资业绩记录者择优；3、 了解差价套利、对冲套利；4、 有很强的数据处理能力和研究能力， 具备编程能力；能承受一定的工作压力；5、 在证券公司、私募基金等机构从事套利研究、策略开发经验优先；6、 有数字货字BTC、以太坊等交易经验者优先；7、有期货从业资格证；8、为人正直，忠诚度高。有团队管理经验。","能力,为人正直,高,计算机,并,以太,投资,事件,团队, ,1,；,模型,管理,的,6,能,量化,资格证,良好,业绩,忠诚度,应用,：,套利,强,BTC,数字,分析,对冲,4,具备,者,数据处理,很,保值,记录, ,风险管理,数学,出示,执行,交易,要求,在,建立,,,回测,统计学,运维,私募,与,以上,机构,操作,市场,区块,专业,链,期货,了解,货字,从事,5,金融交易,日常,无风险,2,专科,有,传统,毕业,金融,策略,编程,),开发,7,8,3,建模,择优,各类,以上学历,。,或者,研究,年,证券公司,交易系统,及,多因子,差价,和,一定,(,工作,金融市场,数据,架构设计,SOP,风险,进行,相关,压力,经验,等,套期,优先,对,任职,从业,坊,，,基金,、,资产,承受"
量化研究员实习生,https://jobs.51job.com/shanghai-xhq/137892688.html,上海-徐汇区,上海,上海,在校生/应届生,0,本科,5,上海锋滔资产管理有限公司,民营公司,少于50人,金融/投资/证券,金融业,100元/天,2.083,2.083,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-21发布,2022,,【实习岗位】量化研究员【实习岗位职责】1、 处理并分析股票、期货量价数据，挖掘有效的技术因子; 2、 梳理总结股票、期货基本面投资框架，并测试相关基本面因子；3、 参与研发基于机器学习的新的投资策略；4、 参与搭建股票策略研发分析平台，及算法和高频交易策略。【岗位要求】1、 国内外知名高校金融、会计、数学、统计、计算机等相关专业***研究生和大四、大三学生；2、 具有扎实的数据分析及统计建模能力； 3、 熟练使用Python或C/C++，编程能力优秀；4、 具有良好的沟通能力及认真负责的工作态度；5、 有强烈的学习意愿和自学能力；6、 实习期三个月以上，能长期实习尤佳。,"能力,大四,/,统计,知名,计算机,并,C++,投资,测试, ,三个,1,；,数据分析,的,学习,6,能,量化,良好,沟通,或,国内外,基于,梳理,分析,研究员,意愿,4,【,新,具有,熟练,C,优秀,;,数学,交易,】,要求,使用,岗位职责,机器,以上,大三,岗位,处理,专业,基本面,参与,期货,5,平台,*,股票,2,月,有,态度,挖掘,高频,Python,策略,金融,编程,量价,学生,算法,搭建,尤佳,3,自学能力,建模,框架,总结,会计,。,及,和,因子,研究生,研发,有效,实习,工作,高校,数据,相关,扎实,等,长期,实习期,，,认真负责,强烈,、,技术"
量化投资基金经理助理,https://jobs.51job.com/hangzhou/82172520.html,杭州-江干区,杭州,杭州,3-4年经验,3.5,本科,5,浙江宁聚投资管理,民营,50-150人,金融/投资/证券,金融业,1-1.5万,10,15,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-02发布,2023,,岗位职责：1、 协助基金经理准确的实施投资策略；2、 根据既定的投资策略，管理基金各帐户（证券、信用、期货、期权等）的头寸和资金划拨；3、 监控基金各项风控指标，及时提示风险；4、 基金持仓和绩效统计分析；5、 优化交易策略，管理交易成本。任职要求：1、 具有扎实的金融投资教育或从业背景，对国内证券期货市场那个有一定的熟悉度；2、 具有良好的数理功底，熟练掌握常用统计方法和工具；3、 冷静仔细，思维缜密富有条理性，并具备较强的学习能力；4、 金融工程专业毕业，本科学历以上，具有一定的编程基础。,"常用,统计,一定,任职,条理性,基础,或,熟练掌握,仔细,资金,编程,3,2,那个,方法,交易,具有,毕业,指标,能力,信用,对,5,数理,（,管理,扎实,具备,各,以上,划拨,1,岗位职责,策略,背景,统计分析,证券,持仓,专业,功底,根据,工程,帐户,等,既定,，,教育,证券期货,头寸,风险,要求,经理,监控,工具,风控,较强,；,绩效,及时,、, ,富有,。,交易成本,投资,提示,本科学历,市场,国内,从业,良好,熟悉,并,金融,学习,期权,和,各项,实施,优化,思维,有,4,协助,度,的,基金,冷静,期货,准确,）,缜密,："
量化金融风险分析师,https://jobs.51job.com/hangzhou/146992507.html,杭州,杭州,杭州,在校生/应届生,0,硕士,6,道富信息科技（浙江）有限公司,外资（欧美）,1000-5000人,金融/投资/证券,金融业,1.5-3万,15,30,千/月,金融/证券/期货/投资,会计/金融/银行/保险,03-20发布,2023,,What you will be responsible for负责量化模型的验证对公司的模型进行全面的风险评估协助业务部门理解模型的潜在风险保证模型满足监管要求 Education & Preferred Qualifications硕士及以上学位，数学，统计，经济，金融工程等相关专业编程能力强（R 或 Python）有一定的英语沟通能力欢迎应届毕业生加入监管要求,"专业,能力,（,R,强,沟通,硕士,评估,负责,be,或,for,公司,Education,等,潜在,经济,英语,数学,模型,Qualifications,理解,&,对,金融,一定,毕业生,全面,风险,编程,加入,保证,监管,进行,欢迎,及, ,工程,验证,有,What,Preferred,满足,Python,业务部门,）,，,协助,统计,you,以上,学位,相关,responsible,要求,量化,will,的,应届"
研究所 研究主管岗（量化研究方向）,https://jobs.51job.com/kunshan/144706371.html,,,,5年,5,硕士,6,招商期货有限公司,国企,150-500人,金融/投资/证券,金融业,2-4万,20,40,千/月,证券,金融,12-25发布,2023,2023/12/28 15:57,1. 负责带领团队开发基本面量化、被动指数及增强、量价、期权策略等模型；2.形成CTA策略的评价体系，跟踪评估市场各类策略表现，评估CTA产品表现；3.与研究所其他研究组合作，创新基本面和量化的结合研究；？4.与招商期货及招商证券其他部门合作，落地商品策略指数和大类资产配置指数；5.组织举办研讨会议、专题研究，服务机构客户；6.完成部门交办的其他工作。任职要求：1. 硕士研究生及以上学历，金融工程、统计、数学、物理、计算机等理工类相关专业背景；2.具有5年以上金融行业量化研究相关工作经验和一定的团队管理能力；3.精通Python，可熟练使用数据分析相关的各类package，熟悉matlab、C++等其他编程工具；4.具有优秀的组织、学习、沟通、分析能力，对量化研究有浓厚兴趣，爱岗敬业、积极进取、勤勉尽责、开放合作；5.具有期货从业资格，同时具有基金从业资格和期货投资咨询资格者优先。,"年,开发,服务,量化,和,形成,招商,硕士,以上学历,从业,数学,体系,计算机,研究组, ,配置,Python,各类,基本面,举办,专题研究,物理,爱岗敬业,使用,带领,机构,分析,资产,者,6,同时,量价,背景,熟练,专业,及,工程,证券,市场,会议,资格,工作,落地,，,对,负责,。,金融,能力,：,被动,产品,增强,matlab,评估,期权,可,结合,团队,统计,优先,有,的,研讨,工具,勤勉,等,模型,经验,商品,积极进取,跟踪,客户,完成,任职,研究生,部门,管理,编程,咨询,合作,沟通,浓厚兴趣,其他,4,5,熟悉,2,；,基金,表现,评价,.,具有,？,开放,投资,策略,、,期货,交办,研究,相关,指数,研究所,C++,学习,要求,与,尽责,数据分析,理工类,大类,以上,一定,创新,3,package,CTA,1,组织,优秀,行业,精通"
金融量化研究员（研究所）,https://jobs.51job.com/hangzhou/145381511.html,杭州-萧山区,杭州,杭州,1年经验,1,硕士,6,信达期货有限公司,国企,150-500人,金融/投资/证券,金融业,12-18万/年,10,15,千/月,金融/证券/期货/投资,会计/金融/银行/保险,02-06发布,2023,,（一）岗位职责：1、对宏观、股指、期权及其他商品进行量化研究及建模；2、研究各类套利交易策略，包括但不限于无风险套利、统计套利、事件套利等；3、研究开发各类标的的高频交易信号，开发因子库；4、使用模拟交易系统对研发的交易信号进行回溯测试；5、开发并维护商用数据库。（二）任职要求：1、硕士及以上学历，经济、金融、数学、物理、计算机、金融工程等相关专业；有统计，人工智能，信号处理、软件工程等方面研究经验的优先。2、具备数学建模经验，具有较强的数据处理能力。3、精通时间序列模型，衍生品定价者优先。4、具备一定的编程能力，有较强的科学研究能力；5、能掌握Python，MATLAB或SQL等工具，熟悉C++优先。,"不,标的,建模,信号,或,交易,经济,岗位职责,任职,金融,事件,及,研究,优先,期权,数据处理,套利,使用,信号处理,限于,专业,及其,硕士,工具,计算机,3,因子,精通,人工智能,数学,软件工程,者,一定,5,定价,、,一,并,回溯,商品,策略,（,模拟,强,股指,物理,交易系统,商用,以上学历,包括,高频,衍生品,1,对,序列,；,编程,宏观,测试,方面,各类,4,但,能,他,SQL,相关,能力,无风险,MATLAB,熟悉,二,时间,具备,。,较强,：,库,等,维护,数据库,开发,模型,具有,进行,工程,有,掌握,科学研究,研发,Python,）,较,，,统计,C++,要求,量化,2,的,经验"
量化交易投研实习生,https://jobs.51job.com/hangzhou/140031801.html,杭州-上城区,杭州,杭州,在校生/应届生,0,本科,5,上海联和金融信息服务有限公司,国企,50-150人,金融/投资/证券,金融业,150元/天,3.1245,3.1245,千/月,金融/证券/期货/投资,会计/金融/银行/保险,01-16发布,2023,,1. 数据清洗与处理；2. 参与可转债、CTA、量化对冲等量化交易策略研究开发工作。职位要求:***本科及以上学历；统计、计量经济、机器学习、人工智能等专业方向；对数据清洗、策略研发有相关经验；熟悉python、了解面向对象编程等方面知识；优秀的统计分析能力（时间序列分析、方差分析等），熟练掌握概率论知识（贝叶斯理论、马尔可夫链等）；具体薪资视工作能力面议。,"方面,能力,。,贝叶斯,研究,python,处理,专业,对冲,分析,统计,方差分析,）,薪资,熟悉,视,面向对象编程,面议,参与,方向,链,:,了解,及,序列,研发,知识,*,职位,工作,时间,计量,数据,2, ,马尔可夫,1,；,优秀,有,相关,具体,理论,交易,要求,经验,（,等,的,策略,学习,熟练掌握,对,统计分析,量化,开发,经济,本科,清洗,，,人工智能,概率论,.,、,可转债,与,CTA,机器,以上学历"
Python量化工程师,https://jobs.51job.com/shanghai/113892036.html,上海,上海,上海,2年经验,2,本科,5,上海骐骏投资发展有限公司,民营,50-150人,金融/投资/证券,金融业,2.5-5万·13薪,25,50,千/月,后端开发,计算机/互联网/通信/电子,02-06发布,2023,,岗位职责： 1、参与公司量化交易平台设计、开发和测试工作 2、量化投资策略及指标模型的数据整理以及回测平台的开发 3、交易所连接接口开发 4、下单算法实现，交易策略的底层实现  5、为量化研究提供支持，辅助研究员和基金经理的日常工作    职位要求: 1、***本科及以上学历，计算机或金融工程相关专业 2、5年以上开发经验，精通python，熟悉异步网络编程 3、熟悉网络通讯协议，和各类交易接口对接 4、对技术有热情，有强烈的学习意愿 5、具备基本证券知识，具有证券、基金和期货公司行业经验者优先考虑,"网络通讯,经理,精通,计算机,以及,指标,:,连接,投资,测试, ,1,模型,下单,的,接口,学习,公司,量化,本科,网络,或,：,研究员,意愿,4,具备,对接,具有,者,异步,知识,交易平台,职位,交易,要求,热情,岗位职责,基本,回测,证券,以上,整理,专业,熟悉,参与,工程,期货,支持,5,考虑,日常,平台,*,2,有,为,策略,金融,编程,开发,算法,实现,3,各类,以上学历,辅助,研究,python,年,设计,行业,及,和,工作,数据,协议,相关,经验,优先,交易所,对,底层,，,基金,强烈,、,技术,提供"
